project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select
https://github.com/20n/act,FALSE,TRUE,8,4188,46,16,https://api.github.com/users/mark-20n,TRUE
https://github.com/6-Billionaires/trading-agent,FALSE,TRUE,8,123,28,6,https://api.github.com/users/verystrongjoe,TRUE
https://github.com/A2Zadeh/CE-CLM,FALSE,TRUE,12,264,34,10,https://api.github.com/users/TadasBaltrusaitis,TRUE
https://github.com/albu/albumentations,FALSE,TRUE,19,346,1710,203,https://api.github.com/users/albu,TRUE
https://github.com/allenai/allennlp,FALSE,TRUE,96,1313,5377,1012,https://api.github.com/users/schmmd,TRUE
https://github.com/allenai/spv2,FALSE,TRUE,7,578,30,6,https://api.github.com/users/dirkgr,TRUE
https://github.com/alphagov/govuk-taxonomy-supervised-learning,FALSE,TRUE,10,632,14,1,https://api.github.com/users/ellieking17,TRUE
https://github.com/analysiscenter/batchflow,FALSE,TRUE,9,2143,97,25,https://api.github.com/users/roman-kh,TRUE
https://github.com/analysiscenter/radio,FALSE,TRUE,10,1978,142,34,https://api.github.com/users/KirillEmelyanov,TRUE
https://github.com/apple/coremltools,FALSE,TRUE,34,289,1309,156,https://api.github.com/users/aseemw,TRUE
https://github.com/arogozhnikov/hep_ml,FALSE,TRUE,6,324,103,33,https://api.github.com/users/arogozhnikov,TRUE
https://github.com/asyml/texar,FALSE,TRUE,17,1204,1046,144,https://api.github.com/users/ZhitingHu,TRUE
https://github.com/atmtools/typhon,FALSE,TRUE,10,1594,14,13,https://api.github.com/users/JohnMrziglod,TRUE
https://github.com/autorope/donkeycar,FALSE,TRUE,54,873,1259,587,https://api.github.com/users/wroscoe,TRUE
https://github.com/aws/sagemaker-containers,FALSE,TRUE,14,126,32,25,https://api.github.com/users/mvsusp,TRUE
https://github.com/aws/sagemaker-python-sdk,FALSE,TRUE,60,387,485,211,https://api.github.com/users/laurenyu,TRUE
https://github.com/azavea/raster-vision,FALSE,TRUE,14,1546,646,143,https://api.github.com/users/lewfish,TRUE
https://github.com/bitextor/bitextor,FALSE,TRUE,9,1572,49,11,https://api.github.com/users/hieuhoang,TRUE
https://github.com/brmson/dataset-sts,FALSE,TRUE,5,574,425,136,https://api.github.com/users/pasky,TRUE
https://github.com/broadinstitute/gatk,FALSE,TRUE,81,3697,560,223,https://api.github.com/users/akiezun,TRUE
https://github.com/CellProfiler/CellProfiler-plugins,FALSE,TRUE,13,201,15,14,https://api.github.com/users/AetherUnbound,TRUE
https://github.com/Cloud-CV/Fabrik,FALSE,TRUE,44,290,977,242,https://api.github.com/users/utsavgarg,TRUE
https://github.com/conversationai/unintended-ml-bias-analysis,FALSE,TRUE,8,252,187,56,https://api.github.com/users/lucyvasserman,TRUE
https://github.com/CSTR-Edinburgh/merlin,FALSE,TRUE,23,363,814,298,https://api.github.com/users/ronanki,TRUE
https://github.com/dask/distributed,FALSE,TRUE,121,2836,733,282,https://api.github.com/users/mrocklin,TRUE
https://github.com/databricks/spark-deep-learning,FALSE,TRUE,13,113,1292,325,https://api.github.com/users/mengxr,TRUE
https://github.com/dataiku/dataiku-contrib,FALSE,TRUE,25,408,43,33,https://api.github.com/users/cstenac,TRUE
https://github.com/davidfischer-ch/pytoolbox,FALSE,TRUE,5,1213,21,10,https://api.github.com/users/davidfischer-ch,TRUE
https://github.com/deepchem/deepchem,FALSE,TRUE,67,3604,1396,464,https://api.github.com/users/rbharath,TRUE
https://github.com/deepgram/kur,FALSE,TRUE,11,576,787,108,https://api.github.com/users/ajsyp,TRUE
https://github.com/deepmipt/DeepPavlov,FALSE,TRUE,26,2210,2748,460,https://api.github.com/users/dilyararimovna,TRUE
https://github.com/deepmipt/kpi2017,FALSE,TRUE,11,580,20,7,https://api.github.com/users/seliverstov,TRUE
https://github.com/deeppomf/DeepCreamPy,FALSE,TRUE,13,284,7189,724,https://api.github.com/users/deeppomf,TRUE
https://github.com/dickreuter/Poker,FALSE,TRUE,5,369,374,124,https://api.github.com/users/dickreuter,TRUE
https://github.com/DL4Jets/DeepJet,FALSE,TRUE,9,405,2,17,https://api.github.com/users/jkiesele,TRUE
https://github.com/DL4Jets/DeepJetCore,FALSE,TRUE,12,462,5,17,https://api.github.com/users/jkiesele,TRUE
https://github.com/dmlc/gluon-nlp,FALSE,TRUE,32,369,1305,272,https://api.github.com/users/leezu,TRUE
https://github.com/dmlc/tvm,FALSE,TRUE,185,2194,2870,674,https://api.github.com/users/tqchen,TRUE
https://github.com/donnemartin/data-science-ipython-notebooks,FALSE,TRUE,12,542,14954,4480,https://api.github.com/users/donnemartin,TRUE
https://github.com/doordash/auto_ml,FALSE,TRUE,8,684,10,2,https://api.github.com/users/ClimbsRocks,TRUE
https://github.com/drivendataorg/concept-to-clinic,FALSE,TRUE,26,382,326,141,https://api.github.com/users/isms,TRUE
https://github.com/dvbuntu/autonomous,FALSE,TRUE,7,242,48,27,https://api.github.com/users/ricklon,TRUE
https://github.com/ECP-CANDLE/Benchmarks,FALSE,TRUE,13,417,30,38,https://api.github.com/users/levinas,TRUE
https://github.com/EderSantana/seya,FALSE,TRUE,9,411,351,105,https://api.github.com/users/EderSantana,TRUE
https://github.com/epam/DLab,FALSE,TRUE,19,4411,69,19,https://api.github.com/users/OlehMartushevskyi,TRUE
https://github.com/Erotemic/ibeis,FALSE,TRUE,10,4522,14,10,https://api.github.com/users/Erotemic,TRUE
https://github.com/explosion/spaCy,FALSE,TRUE,298,8567,12295,2063,https://api.github.com/users/honnibal,TRUE
https://github.com/farizrahman4u/recurrentshop,FALSE,TRUE,12,189,663,200,https://api.github.com/users/farizrahman4u,TRUE
https://github.com/fizyr/keras-retinanet,FALSE,TRUE,42,814,2293,991,https://api.github.com/users/hgaiser,TRUE
https://github.com/flatironinstitute/CaImAn,FALSE,TRUE,24,2497,200,142,https://api.github.com/users/agiovann,TRUE
https://github.com/floydhub/dockerfiles,FALSE,TRUE,6,349,113,49,https://api.github.com/users/houqp,TRUE
https://github.com/freesurfer/freesurfer,FALSE,TRUE,47,22329,87,98,https://api.github.com/users/dngreve,TRUE
https://github.com/fritzlabs/fritz-models,FALSE,TRUE,6,133,232,48,https://api.github.com/users/jamesonthecrow,TRUE
https://github.com/fvisin/dataset_loaders,FALSE,TRUE,11,306,137,40,https://api.github.com/users/fvisin,TRUE
https://github.com/geneing/parallel_wavenet_vocoder,FALSE,TRUE,6,183,19,3,https://api.github.com/users/r9y9,TRUE
https://github.com/Gravity-Spy/GravitySpy,FALSE,TRUE,9,501,2,13,https://api.github.com/users/scottcoughlin2014,TRUE
https://github.com/hcmlab/nova,FALSE,TRUE,5,943,38,9,https://api.github.com/users/tobiasbaur,TRUE
https://github.com/HearthSim/HSReplay.net,FALSE,TRUE,8,6944,105,11,https://api.github.com/users/beheh,TRUE
https://github.com/henryyang42/NTU-Course-Bot,FALSE,TRUE,6,607,10,3,https://api.github.com/users/henryyang42,TRUE
https://github.com/hiddenswitch/Spellsource-Server,FALSE,TRUE,33,4906,47,25,https://api.github.com/users/doctorpangloss,TRUE
https://github.com/Hironsan/anago,FALSE,TRUE,8,289,995,265,https://api.github.com/users/Hironsan,TRUE
https://github.com/hjkgrp/molSimplify,FALSE,TRUE,12,300,18,10,https://api.github.com/users/chenruduan,TRUE
https://github.com/hls-fpga-machine-learning/hls4ml,FALSE,TRUE,9,296,122,35,https://api.github.com/users/nhanvtran,TRUE
https://github.com/horovod/horovod,FALSE,TRUE,35,227,5382,745,https://api.github.com/users/alsrgv,TRUE
https://github.com/hyperdashio/hyperdash-sdk-py,FALSE,TRUE,5,429,124,13,https://api.github.com/users/richardartoul,TRUE
https://github.com/IBM/adversarial-robustness-toolbox,FALSE,TRUE,14,1239,597,152,https://api.github.com/users/ririnicolae,TRUE
https://github.com/ijmarshall/robotreviewer3,FALSE,TRUE,7,522,35,18,https://api.github.com/users/ijmarshall,TRUE
https://github.com/instacart/lore,FALSE,TRUE,15,247,1323,107,https://api.github.com/users/montanalow,TRUE
https://github.com/intel-analytics/analytics-zoo,FALSE,TRUE,42,953,381,139,https://api.github.com/users/hkvision,TRUE
https://github.com/intel-analytics/BigDL,FALSE,TRUE,54,2231,2787,666,https://api.github.com/users/yiheng,TRUE
https://github.com/IntelAI/models,FALSE,TRUE,16,232,43,3,https://api.github.com/users/dmsuehir,TRUE
https://github.com/IntelAI/nauta,FALSE,TRUE,19,957,280,30,https://api.github.com/users/jcchr,TRUE
https://github.com/interactiveaudiolab/nussl,FALSE,TRUE,8,306,160,32,https://api.github.com/users/ethman,TRUE
https://github.com/jantic/DeOldify,FALSE,TRUE,10,114,5181,360,https://api.github.com/users/jantic,TRUE
https://github.com/jhu-lcsr/costar_plan,FALSE,TRUE,13,6922,34,9,https://api.github.com/users/cpaxton,TRUE
https://github.com/kbardool/keras-frcnn,FALSE,TRUE,8,121,35,36,https://api.github.com/users/yhenon,TRUE
https://github.com/kipoi/kipoi,FALSE,TRUE,11,549,84,22,https://api.github.com/users/Avsecz,TRUE
https://github.com/kipoi/models,FALSE,TRUE,11,243,55,22,https://api.github.com/users/Avsecz,TRUE
https://github.com/Kismuz/btgym,FALSE,TRUE,5,610,368,117,https://api.github.com/users/Kismuz,TRUE
https://github.com/kk7nc/RMDL,FALSE,TRUE,5,450,163,52,https://api.github.com/users/kk7nc,TRUE
https://github.com/kundajelab/deeplift,FALSE,TRUE,8,476,265,70,https://api.github.com/users/AvantiShri,TRUE
https://github.com/kundajelab/dragonn,FALSE,TRUE,9,215,172,62,https://api.github.com/users/annashcherbina,TRUE
https://github.com/Lab41/pelops,FALSE,TRUE,6,356,44,22,https://api.github.com/users/agude,TRUE
https://github.com/lablup/backend.ai-kernels,FALSE,TRUE,6,1238,17,5,https://api.github.com/users/hephaex,TRUE
https://github.com/lamastex/scalable-data-science,FALSE,TRUE,16,793,55,52,https://api.github.com/users/lamastex,TRUE
https://github.com/LLNL/lbann,FALSE,TRUE,19,6044,64,31,https://api.github.com/users/timmoon10,TRUE
https://github.com/lwtnn/lwtnn,FALSE,TRUE,7,406,58,28,https://api.github.com/users/dguest,TRUE
https://github.com/MarcBS/multimodal_keras_wrapper,FALSE,TRUE,6,982,17,19,https://api.github.com/users/lvapeab,TRUE
https://github.com/marco-c/autowebcompat,FALSE,TRUE,24,193,31,45,https://api.github.com/users/marco-c,TRUE
https://github.com/matterport/Mask_RCNN,FALSE,TRUE,38,186,10374,4426,https://api.github.com/users/waleedka,TRUE
https://github.com/maxpumperla/betago,FALSE,TRUE,7,224,590,138,https://api.github.com/users/maxpumperla,TRUE
https://github.com/maxpumperla/elephas,FALSE,TRUE,16,301,1135,244,https://api.github.com/users/maxpumperla,TRUE
