project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select,relevant_issues,relevant_commits
https://github.com/broadinstitute/gatk,FALSE,TRUE,81,3697,560,223,https://api.github.com/users/akiezun,TRUE,496,284
https://github.com/explosion/spaCy,FALSE,TRUE,298,8567,12295,2063,https://api.github.com/users/honnibal,TRUE,427,390
https://github.com/RaRe-Technologies/gensim,FALSE,TRUE,311,3389,8666,3237,https://api.github.com/users/piskvorky,TRUE,237,192
https://github.com/LLNL/lbann,FALSE,TRUE,19,6044,64,31,https://api.github.com/users/timmoon10,TRUE,199,430
https://github.com/Microsoft/CNTK,FALSE,TRUE,190,13198,15810,4214,https://api.github.com/users/frankseide,TRUE,93,260
https://github.com/RasaHQ/rasa_core,FALSE,TRUE,93,3783,1946,864,https://api.github.com/users/tmbo,TRUE,87,102
https://github.com/HearthSim/HSReplay.net,FALSE,TRUE,8,6944,105,11,https://api.github.com/users/beheh,TRUE,59,109
https://github.com/apple/coremltools,FALSE,TRUE,34,289,1309,156,https://api.github.com/users/aseemw,TRUE,31,19
https://github.com/dmlc/gluon-nlp,FALSE,TRUE,32,369,1305,272,https://api.github.com/users/leezu,TRUE,28,19
https://github.com/NTMC-Community/MatchZoo,FALSE,TRUE,20,1524,2088,569,https://api.github.com/users/bwanglzu,TRUE,26,66
https://github.com/tensorspace-team/tensorspace,FALSE,TRUE,7,606,3597,293,https://api.github.com/users/syt123450,TRUE,20,25
https://github.com/onnx/onnxmltools,FALSE,TRUE,17,143,205,52,https://api.github.com/users/wschin,TRUE,20,14
https://github.com/TissueMAPS/TissueMAPS,FALSE,TRUE,363,29733,5,14,https://api.github.com/users/hackermd,TRUE,19,1549
https://github.com/atmtools/typhon,FALSE,TRUE,10,1594,14,13,https://api.github.com/users/JohnMrziglod,TRUE,19,80
https://github.com/jhu-lcsr/costar_plan,FALSE,TRUE,13,6922,34,9,https://api.github.com/users/cpaxton,TRUE,18,308
https://github.com/uw-cmg/MAST-ML,FALSE,TRUE,14,2304,13,11,https://api.github.com/users/cmgtam,TRUE,18,81
https://github.com/stellargraph/stellargraph,FALSE,TRUE,13,928,290,34,https://api.github.com/users/youph,TRUE,16,61
https://github.com/Microsoft/onnxruntime,FALSE,TRUE,48,440,564,84,https://api.github.com/users/snnn,TRUE,15,138
https://github.com/scikit-learn-contrib/imbalanced-learn,FALSE,TRUE,35,582,3149,722,https://api.github.com/users/glemaitre,TRUE,13,48
https://github.com/lablup/backend.ai-kernels,FALSE,TRUE,6,1238,17,5,https://api.github.com/users/hephaex,TRUE,13,35
https://github.com/Erotemic/ibeis,FALSE,TRUE,10,4522,14,10,https://api.github.com/users/Erotemic,TRUE,12,285
https://github.com/deepmipt/DeepPavlov,FALSE,TRUE,26,2210,2748,460,https://api.github.com/users/dilyararimovna,TRUE,10,100
https://github.com/vanvalenlab/deepcell-tf,FALSE,TRUE,8,104,18,2,https://api.github.com/users/willgraf,TRUE,9,15
https://github.com/IBM/adversarial-robustness-toolbox,FALSE,TRUE,14,1239,597,152,https://api.github.com/users/ririnicolae,TRUE,8,68
https://github.com/intel-analytics/analytics-zoo,FALSE,TRUE,42,953,381,139,https://api.github.com/users/hkvision,TRUE,8,46
https://github.com/albu/albumentations,FALSE,TRUE,19,346,1710,203,https://api.github.com/users/albu,TRUE,8,33
https://github.com/NLeSC/mcfly,FALSE,TRUE,9,461,210,65,https://api.github.com/users/dafnevk,TRUE,8,12
https://github.com/hcmlab/nova,FALSE,TRUE,5,943,38,9,https://api.github.com/users/tobiasbaur,TRUE,7,47
https://github.com/davidfischer-ch/pytoolbox,FALSE,TRUE,5,1213,21,10,https://api.github.com/users/davidfischer-ch,TRUE,6,22
https://github.com/yzhao062/pyod,FALSE,TRUE,5,695,1412,279,https://api.github.com/users/yzhao062,TRUE,6,19
https://github.com/Lab41/pelops,FALSE,TRUE,6,356,44,22,https://api.github.com/users/agude,TRUE,6,7
https://github.com/instacart/lore,FALSE,TRUE,15,247,1323,107,https://api.github.com/users/montanalow,TRUE,6,7
https://github.com/donnemartin/data-science-ipython-notebooks,FALSE,TRUE,12,542,14954,4480,https://api.github.com/users/donnemartin,TRUE,6,4
https://github.com/dask/distributed,FALSE,TRUE,121,2836,733,282,https://api.github.com/users/mrocklin,TRUE,5,35
https://github.com/sassoftware/python-dlpy,FALSE,TRUE,11,489,88,36,https://api.github.com/users/dlpysas,TRUE,5,29
https://github.com/kipoi/kipoi,FALSE,TRUE,11,549,84,22,https://api.github.com/users/Avsecz,TRUE,5,16
https://github.com/bitextor/bitextor,FALSE,TRUE,9,1572,49,11,https://api.github.com/users/hieuhoang,TRUE,4,61
https://github.com/MiT-HEP/ChargedHiggs,FALSE,TRUE,9,1169,1,12,https://api.github.com/users/amarini,TRUE,4,33
https://github.com/YerevaNN/mimic3-benchmarks,FALSE,TRUE,8,244,200,103,https://api.github.com/users/Harhro94,TRUE,4,23
https://github.com/fizyr/keras-retinanet,FALSE,TRUE,42,814,2293,991,https://api.github.com/users/hgaiser,TRUE,4,19
https://github.com/openeventdata/mordecai,FALSE,TRUE,6,218,304,46,https://api.github.com/users/ahalterman,TRUE,4,6
https://github.com/paris-saclay-cds/ramp-workflow,FALSE,TRUE,11,234,36,21,https://api.github.com/users/kegl,TRUE,4,4
https://github.com/wandb/client,FALSE,TRUE,12,1710,29,4,https://api.github.com/users/vanpelt,TRUE,3,90
https://github.com/slundberg/shap,FALSE,TRUE,36,651,3791,460,https://api.github.com/users/slundberg,TRUE,3,53
https://github.com/aws/sagemaker-containers,FALSE,TRUE,14,126,32,25,https://api.github.com/users/mvsusp,TRUE,3,8
https://github.com/maxpumperla/elephas,FALSE,TRUE,16,301,1135,244,https://api.github.com/users/maxpumperla,TRUE,3,5
https://github.com/kipoi/models,FALSE,TRUE,11,243,55,22,https://api.github.com/users/Avsecz,TRUE,3,3
https://github.com/minimaxir/textgenrnn,FALSE,TRUE,7,128,2006,274,https://api.github.com/users/minimaxir,TRUE,3,3
https://github.com/deeppomf/DeepCreamPy,FALSE,TRUE,13,284,7189,724,https://api.github.com/users/deeppomf,TRUE,3,1
https://github.com/hiddenswitch/Spellsource-Server,FALSE,TRUE,33,4906,47,25,https://api.github.com/users/doctorpangloss,TRUE,2,270
https://github.com/NVIDIAGameWorks/Falcor,FALSE,TRUE,11,1201,733,149,https://api.github.com/users/nbenty,TRUE,2,104
https://github.com/NeuromorphicProcessorProject/snn_toolbox,FALSE,TRUE,6,462,55,24,https://api.github.com/users/rbodo,TRUE,2,64
https://github.com/arogozhnikov/hep_ml,FALSE,TRUE,6,324,103,33,https://api.github.com/users/arogozhnikov,TRUE,2,12
https://github.com/ragulpr/wtte-rnn,FALSE,TRUE,8,252,418,103,https://api.github.com/users/ragulpr,TRUE,2,9
https://github.com/CellProfiler/CellProfiler-plugins,FALSE,TRUE,13,201,15,14,https://api.github.com/users/AetherUnbound,TRUE,2,4
https://github.com/databricks/spark-deep-learning,FALSE,TRUE,13,113,1292,325,https://api.github.com/users/mengxr,TRUE,2,1
https://github.com/Tencent/FeatherCNN,FALSE,TRUE,11,328,831,215,https://api.github.com/users/turbo0628,TRUE,1,47
https://github.com/farizrahman4u/recurrentshop,FALSE,TRUE,12,189,663,200,https://api.github.com/users/farizrahman4u,TRUE,1,40
https://github.com/pyannote/pyannote-audio,FALSE,TRUE,6,1279,332,68,https://api.github.com/users/hbredin,TRUE,1,36
https://github.com/autorope/donkeycar,FALSE,TRUE,54,873,1259,587,https://api.github.com/users/wroscoe,TRUE,1,28
https://github.com/Rayhane-mamah/Tacotron-2,FALSE,TRUE,14,155,725,293,https://api.github.com/users/Rayhane-mamah,TRUE,1,22
https://github.com/riga/law,FALSE,TRUE,5,714,24,9,https://api.github.com/users/riga,TRUE,1,6
https://github.com/floydhub/dockerfiles,FALSE,TRUE,6,349,113,49,https://api.github.com/users/houqp,TRUE,1,0
https://github.com/20n/act,FALSE,TRUE,8,4188,46,16,https://api.github.com/users/mark-20n,TRUE,0,316
https://github.com/rlgraph/rlgraph,FALSE,TRUE,5,3737,71,6,https://api.github.com/users/sven1977,TRUE,0,300
https://github.com/NervanaSystems/ngraph-python,FALSE,TRUE,67,4517,219,34,https://api.github.com/users/diyessi,TRUE,0,260
https://github.com/dmlc/tvm,FALSE,TRUE,185,2194,2870,674,https://api.github.com/users/tqchen,TRUE,0,136
https://github.com/MarcBS/multimodal_keras_wrapper,FALSE,TRUE,6,982,17,19,https://api.github.com/users/lvapeab,TRUE,0,106
https://github.com/OpenNMT/OpenNMT-py,FALSE,TRUE,118,2202,2586,1020,https://api.github.com/users/srush,TRUE,0,86
https://github.com/pschwllr/MolecularTransformer,FALSE,TRUE,102,1980,10,2,https://api.github.com/users/srush,TRUE,0,84
https://github.com/hjkgrp/molSimplify,FALSE,TRUE,12,300,18,10,https://api.github.com/users/chenruduan,TRUE,0,79
https://github.com/TadasBaltrusaitis/OpenFace,FALSE,TRUE,17,715,3318,1141,https://api.github.com/users/TadasBaltrusaitis,TRUE,0,78
https://github.com/deepgram/kur,FALSE,TRUE,11,576,787,108,https://api.github.com/users/ajsyp,TRUE,0,55
https://github.com/doordash/auto_ml,FALSE,TRUE,8,684,10,2,https://api.github.com/users/ClimbsRocks,TRUE,0,44
https://github.com/henryyang42/NTU-Course-Bot,FALSE,TRUE,6,607,10,3,https://api.github.com/users/henryyang42,TRUE,0,41
https://github.com/kundajelab/deeplift,FALSE,TRUE,8,476,265,70,https://api.github.com/users/AvantiShri,TRUE,0,37
https://github.com/sherpa-ai/sherpa,FALSE,TRUE,5,397,45,8,https://api.github.com/users/LarsHH,TRUE,0,31
https://github.com/nl8590687/ASRT_SpeechRecognition,FALSE,TRUE,5,135,821,309,https://api.github.com/users/nl8590687,TRUE,0,27
https://github.com/DL4Jets/DeepJetCore,FALSE,TRUE,12,462,5,17,https://api.github.com/users/jkiesele,TRUE,0,27
https://github.com/dickreuter/Poker,FALSE,TRUE,5,369,374,124,https://api.github.com/users/dickreuter,TRUE,0,26
https://github.com/kk7nc/RMDL,FALSE,TRUE,5,450,163,52,https://api.github.com/users/kk7nc,TRUE,0,25
https://github.com/SummaLabs/DLS,FALSE,TRUE,5,744,16,13,https://api.github.com/users/sergokov,TRUE,0,23
https://github.com/mitaki28/pixcaler,FALSE,TRUE,6,216,14,3,https://api.github.com/users/mitaki28,TRUE,0,23
https://github.com/plaidml/plaidml,FALSE,TRUE,14,674,1893,151,https://api.github.com/users/flaub,TRUE,0,22
https://github.com/mstoye/DeepJet,FALSE,TRUE,8,378,3,21,https://api.github.com/users/jkiesele,TRUE,0,20
https://github.com/VinF/deer,FALSE,TRUE,6,442,397,103,https://api.github.com/users/VinF,TRUE,0,19
https://github.com/lwtnn/lwtnn,FALSE,TRUE,7,406,58,28,https://api.github.com/users/dguest,TRUE,0,18
