project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select
https://github.com/agroce/tstl,FALSE,TRUE,5,1125,52,19,https://api.github.com/users/agroce,TRUE
https://github.com/allenai/allennlp,FALSE,TRUE,96,1309,5346,1001,https://api.github.com/users/schmmd,TRUE
https://github.com/analysiscenter/batchflow,FALSE,TRUE,7,2097,97,25,https://api.github.com/users/roman-kh,TRUE
https://github.com/analysiscenter/radio,FALSE,TRUE,10,1978,141,33,https://api.github.com/users/KirillEmelyanov,TRUE
https://github.com/apple/coremltools,FALSE,TRUE,34,286,1306,156,https://api.github.com/users/aseemw,TRUE
https://github.com/arviz-devs/arviz,FALSE,TRUE,23,541,533,68,https://api.github.com/users/ColCarroll,TRUE
https://github.com/asyml/texar,FALSE,TRUE,17,1200,1030,141,https://api.github.com/users/ZhitingHu,TRUE
https://github.com/awslabs/deeplearning-benchmark,FALSE,TRUE,16,136,93,56,https://api.github.com/users/vishaalkapoor,TRUE
https://github.com/Azure/azure-sdk-for-python,FALSE,TRUE,110,3626,686,548,https://api.github.com/users/lmazuel,TRUE
https://github.com/blei-lab/edward,FALSE,TRUE,78,1764,4092,734,https://api.github.com/users/dustinvtran,TRUE
https://github.com/blue-oil/blueoil,FALSE,TRUE,19,487,157,42,https://api.github.com/users/lm-konda,TRUE
https://github.com/broadinstitute/keras-rcnn,FALSE,TRUE,15,649,408,159,https://api.github.com/users/0x00b1,TRUE
https://github.com/Calamari-OCR/calamari,FALSE,TRUE,5,141,201,62,https://api.github.com/users/ChWick,TRUE
https://github.com/calico/basenji,FALSE,TRUE,5,898,63,20,https://api.github.com/users/davek44,TRUE
https://github.com/Cloud-CV/Fabrik,FALSE,TRUE,44,290,975,242,https://api.github.com/users/utsavgarg,TRUE
https://github.com/cms-sw/cms-bot,FALSE,TRUE,119,7148,11,137,https://api.github.com/users/smuzaffar,TRUE
https://github.com/conda/conda,FALSE,TRUE,212,11383,2716,675,https://api.github.com/users/kalefranz,TRUE
https://github.com/CSTR-Edinburgh/merlin,FALSE,TRUE,23,363,812,297,https://api.github.com/users/ronanki,TRUE
https://github.com/ctuning/ck-env,FALSE,TRUE,12,1738,49,12,https://api.github.com/users/gfursin,TRUE
https://github.com/dask/dask-ml,FALSE,TRUE,31,497,439,99,https://api.github.com/users/TomAugspurger,TRUE
https://github.com/databricks/tensorframes,FALSE,TRUE,13,208,723,153,https://api.github.com/users/thunterdb,TRUE
https://github.com/DeepBCI/Deep-BCI,FALSE,TRUE,13,187,73,64,https://api.github.com/users/SeungTaeYang-DGIST,TRUE
https://github.com/deepchem/deepchem,FALSE,TRUE,67,3604,1392,463,https://api.github.com/users/rbharath,TRUE
