project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select
https://github.com/zhuowei/RaspberryJuice,FALSE,TRUE,5,104,131,65,https://api.github.com/users/martinohanlon,TRUE
https://github.com/Zhaoyi-Yan/Shift-Net_pytorch,FALSE,TRUE,5,112,91,23,https://api.github.com/users/Zhaoyi-Yan,TRUE
https://github.com/zalandoresearch/flair,FALSE,TRUE,29,1009,5064,393,https://api.github.com/users/alanakbik,TRUE
https://github.com/yxgeee/pytorch-FPN,FALSE,TRUE,17,300,15,8,https://api.github.com/users/endernewton,TRUE
https://github.com/YosefLab/scVI,FALSE,TRUE,12,409,180,53,https://api.github.com/users/Edouard360,TRUE
https://github.com/yoavweiss/Blink,FALSE,TRUE,19,742,57,21,https://api.github.com/users/wangxianzhu,TRUE
https://github.com/wrye-bash/wrye-bash,FALSE,TRUE,20,4325,189,50,https://api.github.com/users/Utumno,TRUE
https://github.com/wiseodd/generative-models,FALSE,TRUE,6,111,4626,1514,https://api.github.com/users/wiseodd,TRUE
https://github.com/weolar/miniblink49,FALSE,TRUE,6,1600,2359,375,https://api.github.com/users/weolar,TRUE
https://github.com/waveform80/picamera,FALSE,TRUE,20,924,983,237,https://api.github.com/users/waveform80,TRUE
https://github.com/wandb/client,FALSE,TRUE,12,1710,29,4,https://api.github.com/users/vanpelt,TRUE
https://github.com/vortex-exoplanet/VIP,FALSE,TRUE,10,936,33,22,https://api.github.com/users/carlgogo,TRUE
https://github.com/vlimant/mpi_learn,FALSE,TRUE,8,369,32,13,https://api.github.com/users/vlimant,TRUE
https://github.com/viking-sudo-rm/StackNN,FALSE,TRUE,7,381,135,16,https://api.github.com/users/viking-sudo-rm,TRUE
https://github.com/victoresque/pytorch-template,FALSE,TRUE,6,135,818,159,https://api.github.com/users/SunQpark,TRUE
https://github.com/VAPus/PyOT-Legacy,FALSE,TRUE,6,732,10,2,https://api.github.com/users/stian-,TRUE
https://github.com/ValveSoftware/steamlink-sdk,FALSE,TRUE,21,228,99,34,https://api.github.com/users/slouken,TRUE
https://github.com/uclmr/jack,FALSE,TRUE,19,1683,169,37,https://api.github.com/users/dirkweissenborn,TRUE
https://github.com/ubc/compair,FALSE,TRUE,11,1744,13,6,https://api.github.com/users/andrew-gardener,TRUE
https://github.com/twisted/imaginary,FALSE,TRUE,9,332,27,11,https://api.github.com/users/glyph,TRUE
https://github.com/trevorlinton/webkit.js,FALSE,TRUE,7,205,1776,82,https://api.github.com/users/trevorlinton,TRUE
https://github.com/tpys/face-recognition-caffe2,FALSE,TRUE,152,2112,39,11,https://api.github.com/users/Yangqing,TRUE
https://github.com/ToontownInfinite/src,FALSE,TRUE,14,1841,21,96,https://api.github.com/users/xPythonic,TRUE
https://github.com/Tiramisu-Compiler/tiramisu,FALSE,TRUE,14,2301,85,14,https://api.github.com/users/rbaghdadi,TRUE
https://github.com/TheHedgeify/DagstuhlGAN,FALSE,TRUE,6,179,59,21,https://api.github.com/users/TheHedgeify,TRUE
https://github.com/textpipe/textpipe,FALSE,TRUE,11,177,54,3,https://api.github.com/users/anneschuth,TRUE
https://github.com/tensorpack/tensorpack,FALSE,TRUE,39,2558,3684,1133,https://api.github.com/users/ppwwyyxx,TRUE
https://github.com/tensorly/tensorly,FALSE,TRUE,19,333,653,127,https://api.github.com/users/JeanKossaifi,TRUE
https://github.com/tensorlayer/tensorlayer,FALSE,TRUE,68,1901,4735,1099,https://api.github.com/users/zsdonghao,TRUE
https://github.com/Tencent/FeatherCNN,FALSE,TRUE,11,328,831,215,https://api.github.com/users/turbo0628,TRUE
https://github.com/taolei87/sru,FALSE,TRUE,12,155,1579,241,https://api.github.com/users/taolei87,TRUE
https://github.com/TalkToTheGAN/REGAN,FALSE,TRUE,5,176,27,2,https://api.github.com/users/Ravoxsg,TRUE
https://github.com/SurrealAI/surreal,FALSE,TRUE,10,1403,204,31,https://api.github.com/users/jirenz,TRUE
https://github.com/suragnair/alpha-zero-general,FALSE,TRUE,16,169,1158,301,https://api.github.com/users/suragnair,TRUE
https://github.com/SuperTux/flexlay,FALSE,TRUE,6,1261,10,2,https://api.github.com/users/Grumbel,TRUE
