project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select,,,
https://github.com/inferno-pytorch/inferno,FALSE,TRUE,12,860,181,28,https://api.github.com/users/nasimrahaman,TRUE,,,
https://github.com/pyro-ppl/pyro,FALSE,TRUE,51,1524,5029,537,https://api.github.com/users/fritzo,TRUE,,,
https://github.com/deepchem/deepchem,FALSE,TRUE,67,3604,1396,464,https://api.github.com/users/rbharath,TRUE,,,
https://github.com/PacktPublishing/Deep-Reinforcement-Learning-Hands-On,FALSE,TRUE,6,1150,419,209,https://api.github.com/users/Shmuma,TRUE,Code Samples for a Book,,
https://github.com/apaszke/pytorch-dist,FALSE,TRUE,207,3171,32,4,https://api.github.com/users/soumith,TRUE,,,
https://github.com/dmlc/gluon-cv,FALSE,TRUE,45,426,1898,394,https://api.github.com/users/zhreshold,TRUE,,,
https://github.com/matpow2/cuwo,FALSE,TRUE,12,676,146,46,https://api.github.com/users/matpow2,TRUE,,,
https://github.com/meetshah1995/pytorch-semseg,FALSE,TRUE,13,184,1600,438,https://api.github.com/users/meetshah1995,TRUE,,,
https://github.com/apache/arrow,FALSE,TRUE,253,3547,3334,832,https://api.github.com/users/wesm,TRUE,,,
https://github.com/HoloClean/HoloClean-Legacy-deprecated,FALSE,TRUE,12,549,73,20,https://api.github.com/users/ah89,TRUE,,,
https://github.com/ptillet/isaac,FALSE,TRUE,8,685,98,34,https://api.github.com/users/ptillet,TRUE,,,
https://github.com/SmartDataAnalytics/horus-ner,FALSE,TRUE,8,211,40,4,https://api.github.com/users/diegoesteves,TRUE,,,
https://github.com/Netherdrake/steem-python,FALSE,TRUE,8,223,17,16,https://api.github.com/users/Netherdrake,TRUE,,,
https://github.com/adrianbg/kaldi.js,FALSE,TRUE,132,7160,48,6,https://api.github.com/users/danpovey,TRUE,,,
https://github.com/classilla/tenfourfox,FALSE,TRUE,9,504,84,12,https://api.github.com/users/classilla,TRUE,,,
https://github.com/mittagessen/kraken,FALSE,TRUE,9,657,119,18,https://api.github.com/users/mittagessen,TRUE,,,
https://github.com/linjieyangsc/densecap,FALSE,TRUE,207,3769,26,16,https://api.github.com/users/shelhamer,TRUE,,,
https://github.com/i-machine-think/machine,FALSE,TRUE,7,345,12,19,https://api.github.com/users/dieuwkehupkes,TRUE,,,
https://github.com/espnet/espnet,FALSE,TRUE,27,2222,866,233,https://api.github.com/users/kan-bayashi,TRUE,,,
https://github.com/ronghanghu/speaker_follower,FALSE,TRUE,5,204,37,6,https://api.github.com/users/peteanderson80,TRUE,,,
