project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select,relevant_issues,relevant_commits
https://github.com/opencv/opencv,FALSE,TRUE,305,14597,31970,22903,https://api.github.com/users/alalek,TRUE,2136,1948
https://github.com/evennia/evennia,FALSE,TRUE,74,4999,826,393,https://api.github.com/users/Griatch,TRUE,529,664
https://github.com/apache/incubator-mxnet,FALSE,TRUE,392,8731,16367,5853,https://api.github.com/users/tqchen,TRUE,481,563
https://github.com/ilastik/ilastik,FALSE,TRUE,40,6937,142,79,https://api.github.com/users/stuarteberg,TRUE,389,357
https://github.com/NVIDIA/DIGITS,FALSE,TRUE,42,1602,3548,1284,https://api.github.com/users/lukeyeager,TRUE,316,86
https://github.com/ray-project/ray,FALSE,TRUE,130,2535,5828,801,https://api.github.com/users/robertnishihara,TRUE,220,129
https://github.com/brave/browser-android-tabs,FALSE,TRUE,10,541,526,119,https://api.github.com/users/samartnik,TRUE,181,274
https://github.com/odlgroup/odl,FALSE,TRUE,17,4861,100,53,https://api.github.com/users/adler-j,TRUE,166,410
https://github.com/HazyResearch/snorkel,FALSE,TRUE,39,2308,1770,390,https://api.github.com/users/ajratner,TRUE,160,132
https://github.com/pyro-ppl/pyro,FALSE,TRUE,51,1524,5029,537,https://api.github.com/users/fritzo,TRUE,147,102
https://github.com/daid/LegacyCura,FALSE,TRUE,68,2430,601,440,https://api.github.com/users/daid,TRUE,144,178
https://github.com/ubc/compair,FALSE,TRUE,11,1744,13,6,https://api.github.com/users/andrew-gardener,TRUE,134,121
https://github.com/codalab/codalab-cli,FALSE,TRUE,26,1822,33,31,https://api.github.com/users/percyliang,TRUE,114,107
https://github.com/wrye-bash/wrye-bash,FALSE,TRUE,20,4325,189,50,https://api.github.com/users/Utumno,TRUE,89,362
https://github.com/waveform80/picamera,FALSE,TRUE,20,924,983,237,https://api.github.com/users/waveform80,TRUE,88,15
https://github.com/benbaptist/minecraft-wrapper,FALSE,TRUE,10,1693,66,26,https://api.github.com/users/suresttexas00,TRUE,76,158
https://github.com/PySimpleGUI/PySimpleGUI,FALSE,TRUE,10,1890,1161,139,https://api.github.com/users/MikeTheWatchGuy,TRUE,74,29
https://github.com/cornellius-gp/gpytorch,FALSE,TRUE,23,1834,1051,121,https://api.github.com/users/jacobrgardner,TRUE,69,92
https://github.com/pupil-labs/pupil,FALSE,TRUE,27,4975,677,456,https://api.github.com/users/mkassner,TRUE,69,232
https://github.com/db0/Android-Netrunner-OCTGN,FALSE,TRUE,10,1504,86,40,https://api.github.com/users/db0,TRUE,67,45
https://github.com/overviewer/Minecraft-Overviewer,FALSE,TRUE,108,2255,1868,327,https://api.github.com/users/eminence,TRUE,65,91
https://github.com/zalandoresearch/flair,FALSE,TRUE,29,1009,5064,393,https://api.github.com/users/alanakbik,TRUE,63,25
https://github.com/diana-hep/pyhf,FALSE,TRUE,5,364,52,14,https://api.github.com/users/lukasheinrich,TRUE,54,6
https://github.com/appscode/stash,FALSE,TRUE,18,694,473,38,https://api.github.com/users/tamalsaha,TRUE,53,12
https://github.com/aws/sagemaker-python-sdk,FALSE,TRUE,60,387,485,211,https://api.github.com/users/laurenyu,TRUE,46,12
https://github.com/HazyResearch/fonduer,FALSE,TRUE,9,874,138,32,https://api.github.com/users/lukehsiao,TRUE,45,21
https://github.com/facebookresearch/ParlAI,FALSE,TRUE,73,2316,4175,765,https://api.github.com/users/emilydinan,TRUE,45,144
https://github.com/ToontownInfinite/src,FALSE,TRUE,14,1841,21,96,https://api.github.com/users/xPythonic,TRUE,44,175
https://github.com/NVIDIA/DALI,FALSE,TRUE,22,386,1072,124,https://api.github.com/users/JanuszL,TRUE,43,11
https://github.com/mil-tokyo/webdnn,FALSE,TRUE,11,1238,1545,125,https://api.github.com/users/Kiikurage,TRUE,42,53
https://github.com/ecs-vlc/torchbearer,FALSE,TRUE,7,323,349,37,https://api.github.com/users/ethanwharris,TRUE,40,13
https://github.com/cs-au-dk/Artemis,FALSE,TRUE,7,1724,31,10,https://api.github.com/users/BenSpencer,TRUE,40,148
https://github.com/PaddlePaddle/VisualDL,FALSE,TRUE,15,519,2094,317,https://api.github.com/users/Superjomn,TRUE,35,31
https://github.com/MoonchildProductions/UXP,FALSE,TRUE,60,1680,174,30,https://api.github.com/users/janekptacijarabaci,TRUE,32,99
https://github.com/LiberTEM/LiberTEM,FALSE,TRUE,5,542,21,6,https://api.github.com/users/sk1p,TRUE,28,6
https://github.com/espnet/espnet,FALSE,TRUE,27,2222,866,233,https://api.github.com/users/kan-bayashi,TRUE,28,176
https://github.com/dart-lang/dart-pad,FALSE,TRUE,14,1205,157,45,https://api.github.com/users/devoncarew,TRUE,27,42
https://github.com/NervanaSystems/neon,FALSE,TRUE,74,837,3725,832,https://api.github.com/users/scttl,TRUE,26,77
https://github.com/lakewik/EasyStorj,FALSE,TRUE,8,784,81,16,https://api.github.com/users/lakewik,TRUE,24,29
https://github.com/libtcod/python-tcod,FALSE,TRUE,12,985,156,13,https://api.github.com/users/HexDecimal,TRUE,24,24
https://github.com/kymatio/kymatio,FALSE,TRUE,15,291,157,25,https://api.github.com/users/janden,TRUE,22,13
https://github.com/OpenMined/PySyft,FALSE,TRUE,143,3311,2663,618,https://api.github.com/users/iamtrask,TRUE,20,172
https://github.com/fabianonline/OctoPrint-Telegram,FALSE,TRUE,5,211,96,34,https://api.github.com/users/fabianonline,TRUE,19,15
https://github.com/steemit/steem-python,FALSE,TRUE,22,347,161,99,https://api.github.com/users/Netherdrake,TRUE,19,22
https://github.com/bravoserver/bravo,FALSE,TRUE,27,2413,202,44,https://api.github.com/users/MostAwesomeDude,TRUE,18,27
https://github.com/matpow2/cuwo,FALSE,TRUE,12,676,146,46,https://api.github.com/users/matpow2,TRUE,18,23
https://github.com/mratsim/Arraymancer,FALSE,TRUE,13,701,393,37,https://api.github.com/users/mratsim,TRUE,18,27
https://github.com/kubedb/apimachinery,FALSE,TRUE,14,471,30,4,https://api.github.com/users/tamalsaha,TRUE,17,3
https://github.com/appscode/kubed,FALSE,TRUE,13,430,312,21,https://api.github.com/users/tamalsaha,TRUE,17,4
https://github.com/facebookresearch/TensorComprehensions,FALSE,TRUE,27,983,1423,149,https://api.github.com/users/nicolasvasilache,TRUE,16,38
https://github.com/daavoo/pyntcloud,FALSE,TRUE,15,831,421,90,https://api.github.com/users/daavoo,TRUE,16,7
https://github.com/blue-oil/blueoil,FALSE,TRUE,19,490,157,41,https://api.github.com/users/lm-konda,TRUE,15,17
https://github.com/nerox8664/pytorch2keras,FALSE,TRUE,6,233,273,38,https://api.github.com/users/nerox8664,TRUE,15,18
https://github.com/rdevon/cortex,FALSE,TRUE,16,706,41,10,https://api.github.com/users/rdevon,TRUE,15,33
https://github.com/kaldi-asr/kaldi,FALSE,TRUE,233,8103,5275,2634,https://api.github.com/users/danpovey,TRUE,13,1003
https://github.com/allenai/allennlp,FALSE,TRUE,96,1313,5377,1012,https://api.github.com/users/schmmd,TRUE,12,30
https://github.com/ilastik/lazyflow,FALSE,TRUE,25,3231,66,52,https://api.github.com/users/stuarteberg,TRUE,12,200
https://github.com/HazyResearch/metal,FALSE,TRUE,13,815,87,21,https://api.github.com/users/bhancock8,TRUE,11,76
https://github.com/Kaggle/docker-python,FALSE,TRUE,91,966,874,458,https://api.github.com/users/nerdcha,TRUE,11,4
https://github.com/IBM/mi-prometheus,FALSE,TRUE,9,1678,18,10,https://api.github.com/users/tkornut,TRUE,11,86
https://github.com/pytorch/ignite,FALSE,TRUE,28,246,1405,139,https://api.github.com/users/vfdev-5,TRUE,10,9
https://github.com/interactiveaudiolab/nussl,FALSE,TRUE,8,306,160,32,https://api.github.com/users/ethman,TRUE,10,31
https://github.com/zhuowei/RaspberryJuice,FALSE,TRUE,5,104,131,65,https://api.github.com/users/martinohanlon,TRUE,10,5
https://github.com/uclmr/jack,FALSE,TRUE,19,1683,169,37,https://api.github.com/users/dirkweissenborn,TRUE,9,152
https://github.com/PIQuIL/QuCumber,FALSE,TRUE,9,807,87,7,https://api.github.com/users/emerali,TRUE,9,47
https://github.com/arraiyopensource/torchgeometry,FALSE,TRUE,7,318,528,31,https://api.github.com/users/edgarriba,TRUE,8,23
https://github.com/pytorch/vision,FALSE,TRUE,128,404,2739,1323,https://api.github.com/users/soumith,TRUE,8,18
https://github.com/dmlc/dgl,FALSE,TRUE,23,384,1461,153,https://api.github.com/users/jermainewang,TRUE,8,51
https://github.com/cmusatyalab/openface,FALSE,TRUE,26,731,11607,2795,https://api.github.com/users/bamos,TRUE,8,17
https://github.com/SmartDataAnalytics/horus-ner,FALSE,TRUE,8,211,40,4,https://api.github.com/users/diegoesteves,TRUE,8,6
https://github.com/Cadene/pretrained-models.pytorch,FALSE,TRUE,15,131,3438,720,https://api.github.com/users/Cadene,TRUE,8,6
https://github.com/mozilla-b2g/gecko-tablet,FALSE,TRUE,310,201550,6,10,https://api.github.com/users/rvandermeulen,TRUE,7,27552
https://github.com/facebookresearch/maskrcnn-benchmark,FALSE,TRUE,48,104,4111,799,https://api.github.com/users/fmassa,TRUE,7,12
