word,n_documents
fix,26726
bug,24224
for,5988
the,4898
and,4094
error,3824
test,3713
with,3520
when,2439
issu,2306
not,2282
from,2049
build,2009
part,1911
bustag,1419
that,1346
warn,1257
add,1230
chang,1128
some,1113
window,1054
file,1002
get,965
code,936
fail,927
remov,912
close,906
crash,896
updat,888
work,856
bugfix,836
set,832
object,826
failur,824
new,801
problem,771
tree,768
browser,743
out,741
make,719
compil,713
handl,710
followup,707
type,703
name,672
check,672
typo,662
patch,654
function,650
after,649
assert,642
call,633
data,630
caus,619
onli,614
valu,606
roc,604
resolv,596
non,578
load,570
run,564
cpp,559
open,547
merg,543
block,529
thi,528
more,508
miss,506
imag,504
return,503
comment,502
support,496
follow,486
model,481
python,481
html,478
list,469
frame,469
intermitt,467
all,464
size,461
layer,457
disabl,457
back,455
where,445
content,445
tab,442
debug,440
should,437
script,430
messag,428
time,428
style,426
enabl,424
event,424
variabl,418
case,416
import,413
memori,413
string,412
leak,411
dont,408
now,405
gener,402
doesnt,396
mode,396
broken,395
creat,394
input,391
text,388
path,387
about,387
orang,387
have,386
regress,383
android,383
version,380
dontbuild,373
document,372
log,372
doe,371
arrai,369
element,367
which,365
request,358
dom,356
try,353
instal,348
includ,348
wrong,344
select,343
fixup,342
output,340
minor,338
plugin,338
report,337
prefix,337
web,333
default,332
can,332
pass,328
result,328
manag,327
due,326
properti,326
mac,324
api,322
read,322
line,322
also,321
instead,321
method,320
com,318
incorrect,315
move,314
except,311
order,311
small,310
class,310
root,310
need,309
initi,307
jst,306
into,300
access,300
implement,299
state,296
moz,296
argument,294
button,294
base,292
dbaron,291
featur,287
context,287
displai,286
train,284
null,281
cach,279
index,278
posit,276
smaug,274
doc,273
detect,272
command,271
util,270
servic,269
show,268
page,268
css,267
exampl,266
start,263
befor,261
process,260
properli,259
link,259
save,257
correctli,257
multipl,255
but,255
user,254
bsmedberg,253
local,251
allow,248
number,248
oper,248
modul,247
cuda,247
connect,243
linux,243
other,242
node,241
dure,240
ion,240
http,239
match,237
correct,236
condit,236
tensor,234
stack,233
infer,233
format,233
copi,232
contain,232
refer,232
label,230
break,230
reftest,230
paramet,229
relat,228
view,228
sync,228
depend,227
invalid,227
menu,225
attribut,225
item,225
bind,225
delet,224
loop,224
search,223
kei,220
dvander,220
while,218
option,218
pars,217
empti,217
shape,216
space,214
without,214
ted,214
convert,213
gcc,213
bit,210
app,210
